,date,value
201,2016-04-14,117.720001
202,2016-04-15,117.5
203,2016-04-15,118.449997
204,2016-04-16,117.5
205,2016-04-16,118.449997
206,2016-04-17,117.5
207,2016-04-17,118.449997
208,2016-04-18,118.32
209,2016-04-18,121.260002
210,2016-04-19,121.349998
211,2016-04-19,121.68
212,2016-04-20,121.099998
213,2016-04-20,122.309998
214,2016-04-21,122.610001
215,2016-04-21,123.010002
216,2016-04-22,123.480003
217,2016-04-22,123.790001
218,2016-04-23,123.480003
219,2016-04-23,123.790001
220,2016-04-24,123.480003
221,2016-04-24,123.790001
222,2016-04-25,123.199997
223,2016-04-25,123.300003
224,2016-04-26,123.959999
225,2016-04-26,124.400002
226,2016-04-27,124.589996
227,2016-04-27,124.690002
228,2016-04-28,123.540001
229,2016-04-28,124.150002
230,2016-04-29,123.800003
231,2016-04-29,124.900002
232,2016-04-30,123.800003
233,2016-04-30,124.900002
234,2016-05-01,123.800003
235,2016-05-01,124.900002
236,2016-05-02,125.440002
237,2016-05-02,125.959999
238,2016-05-03,124.559998
239,2016-05-03,126.269997
240,2016-05-04,125.389999
241,2016-05-04,126.559998
242,2016-05-05,126.660004
243,2016-05-05,127.660004
244,2016-05-06,127.360001
245,2016-05-06,121.559998
246,2016-05-07,127.360001
247,2016-05-07,121.559998
248,2016-05-08,127.360001
249,2016-05-08,121.559998
250,2016-05-09,122.279999
251,2016-05-09,123.440002
252,2016-05-10,123.889999
253,2016-05-10,125.510002
254,2016-05-11,125.699997
255,2016-05-11,124.209999
256,2016-05-12,124.440002
257,2016-05-12,123.889999
258,2016-05-13,123.910004
259,2016-05-13,122.970001
260,2016-05-14,123.910004
261,2016-05-14,122.970001
262,2016-05-15,123.910004
263,2016-05-15,122.970001
264,2016-05-16,123.120003
265,2016-05-16,123.910004
266,2016-05-17,123.400002
267,2016-05-17,123.410004
268,2016-05-18,123.220001
269,2016-05-18,125.269997
270,2016-05-19,124.519997
271,2016-05-19,125.120003
272,2016-05-20,125.150002
273,2016-05-20,125.57
274,2016-05-21,125.150002
275,2016-05-21,125.57
276,2016-05-22,125.150002
277,2016-05-22,125.57
278,2016-05-23,125.480003
279,2016-05-23,125.949997
280,2016-05-24,126.129997
281,2016-05-24,126.620003
282,2016-05-25,127.080002
283,2016-05-25,126.459999
284,2016-05-26,126.360001
285,2016-05-26,126.610001
286,2016-05-27,126.510002
287,2016-05-27,127.910004
288,2016-05-28,126.510002
289,2016-05-28,127.910004
290,2016-05-29,126.510002
291,2016-05-29,127.910004
292,2016-05-30,126.510002
293,2016-05-30,127.910004
294,2016-05-31,128.5
295,2016-05-31,128.020004
296,2016-06-01,127.669998
297,2016-06-01,128.070007
298,2016-06-02,127.989998
299,2016-06-02,128.75
300,2016-06-03,127.809998
301,2016-06-03,127.480003
302,2016-06-04,127.809998
303,2016-06-04,127.480003
304,2016-06-05,127.809998
305,2016-06-05,127.480003
306,2016-06-06,127.699997
307,2016-06-06,127.68
308,2016-06-07,128.050003
309,2016-06-07,129.25
310,2016-06-08,128.990005
311,2016-06-08,129.029999
312,2016-06-09,128.729996
313,2016-06-09,129.580002
314,2016-06-10,128.869995
315,2016-06-10,127.010002
316,2016-06-11,128.869995
317,2016-06-11,127.010002
318,2016-06-12,128.869995
319,2016-06-12,127.010002
320,2016-06-13,127.099998
321,2016-06-13,125.470001
322,2016-06-14,124.720001
323,2016-06-14,124.959999
324,2016-06-15,125.949997
325,2016-06-15,124.139999
326,2016-06-16,123.339996
327,2016-06-16,124.839996
328,2016-06-17,124.669998
329,2016-06-17,125.330002
330,2016-06-18,124.669998
331,2016-06-18,125.330002
332,2016-06-19,124.669998
333,2016-06-19,125.330002
334,2016-06-20,126.510002
335,2016-06-20,126.269997
336,2016-06-21,126.540001
337,2016-06-21,127.330002
338,2016-06-22,127.089996
339,2016-06-22,126.489998
340,2016-06-23,127.940002
341,2016-06-23,127.650002
342,2016-06-24,121.0
343,2016-06-24,117.010002
344,2016-06-25,121.0
345,2016-06-25,117.010002
346,2016-06-26,121.0
347,2016-06-26,117.010002
348,2016-06-27,114.660004
349,2016-06-27,113.400002
350,2016-06-28,113.809998
351,2016-06-28,117.559998
352,2016-06-29,118.339996
353,2016-06-29,121.0
354,2016-06-30,121.360001
355,2016-06-30,124.309998
356,2016-07-01,124.480003
357,2016-07-01,124.0
358,2016-07-02,124.480003
359,2016-07-02,124.0
360,2016-07-03,124.480003
361,2016-07-03,124.0
362,2016-07-04,124.480003
363,2016-07-04,124.0
364,2016-07-05,120.190002
365,2016-07-05,123.480003
366,2016-07-06,123.32
367,2016-07-06,124.870003
368,2016-07-07,124.279999
369,2016-07-07,124.440002
370,2016-07-08,126.040001
371,2016-07-08,125.059998
372,2016-07-09,126.040001
373,2016-07-09,125.059998
374,2016-07-10,126.040001
375,2016-07-10,125.059998
376,2016-07-11,125.099998
377,2016-07-11,125.519997
378,2016-07-12,125.889999
379,2016-07-12,127.199997
380,2016-07-13,127.610001
381,2016-07-13,126.419998
382,2016-07-14,127.620003
383,2016-07-14,126.040001
384,2016-07-15,126.400002
385,2016-07-15,124.589996
386,2016-07-16,126.400002
387,2016-07-16,124.589996
388,2016-07-17,126.400002
389,2016-07-17,124.589996
390,2016-07-18,124.830002
391,2016-07-18,123.980003
392,2016-07-19,123.199997
393,2016-07-19,124.169998
394,2016-07-20,124.510002
395,2016-07-20,124.0
396,2016-07-21,123.68
397,2016-07-21,123.330002
398,2016-07-22,123.220001
399,2016-07-22,123.940002
400,2016-07-23,123.220001
401,2016-07-23,123.940002
402,2016-07-24,123.220001
403,2016-07-24,123.940002
404,2016-07-25,123.57
405,2016-07-25,124.0
406,2016-07-26,124.290001
407,2016-07-26,123.760002
408,2016-07-27,123.830002
409,2016-07-27,124.269997
410,2016-07-28,124.010002
411,2016-07-28,123.739998
412,2016-07-29,123.419998
413,2016-07-29,123.620003
414,2016-07-30,123.419998
415,2016-07-30,123.620003
416,2016-07-31,123.419998
417,2016-07-31,123.620003
418,2016-08-01,123.870003
419,2016-08-01,123.839996
420,2016-08-02,123.610001
421,2016-08-02,123.169998
422,2016-08-03,123.510002
423,2016-08-03,123.82
424,2016-08-04,123.559998
425,2016-08-04,124.089996
426,2016-08-05,121.730003
427,2016-08-05,119.919998
428,2016-08-06,121.730003
429,2016-08-06,119.919998
430,2016-08-07,121.730003
431,2016-08-07,119.919998
432,2016-08-08,119.57
433,2016-08-08,120.589996
434,2016-08-09,120.290001
435,2016-08-09,121.230003
436,2016-08-10,121.650002
437,2016-08-10,121.82
438,2016-08-11,121.860001
439,2016-08-11,122.75
440,2016-08-12,122.510002
441,2016-08-12,121.470001
442,2016-08-13,122.510002
443,2016-08-13,121.470001
444,2016-08-14,122.510002
445,2016-08-14,121.470001
446,2016-08-15,122.0
447,2016-08-15,121.529999
448,2016-08-16,121.370003
449,2016-08-16,121.480003
450,2016-08-17,121.900002
451,2016-08-17,121.93
452,2016-08-18,121.739998
453,2016-08-18,122.559998
454,2016-08-19,122.099998
455,2016-08-19,122.720001
456,2016-08-20,122.099998
457,2016-08-20,122.720001
458,2016-08-21,122.099998
459,2016-08-21,122.720001
460,2016-08-22,122.550003
461,2016-08-22,122.949997
462,2016-08-23,123.239998
463,2016-08-23,123.110001
464,2016-08-24,123.099998
465,2016-08-24,122.209999
466,2016-08-25,121.809998
467,2016-08-25,122.209999
468,2016-08-26,122.580002
469,2016-08-26,122.989998
470,2016-08-27,122.580002
471,2016-08-27,122.989998
472,2016-08-28,122.580002
473,2016-08-28,122.989998
474,2016-08-29,123.150002
475,2016-08-29,123.919998
